"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Pas temen gw curhat ke gw
Dia: *cerita panjang lebar*
Gw: *kasih saran begini-begini*
Pas gw curhat ke temen gw
Gw:… https://t.co/maIzRfKS57",FALSE,1,NA,"2020-04-15 08:26:05",TRUE,NA,"1250339597986324480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jagomenghaluu",0,FALSE,FALSE,NA,NA
"enak ya kamu punya tempat curhat",FALSE,0,NA,"2020-04-15 08:26:02",FALSE,NA,"1250339588637249536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","at0110am",0,FALSE,FALSE,NA,NA
"bubble chat banyaaakk banget, karna gua suka setengah setengah dulu kalo curhat https://t.co/RXDRkysPny",FALSE,0,NA,"2020-04-15 08:25:56",FALSE,NA,"1250339563496558592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yerimvk",0,FALSE,FALSE,NA,NA
"@cacccaaaa kok curhat",FALSE,0,"cacccaaaa","2020-04-15 08:25:55",FALSE,"1250338115169824768","1250339556949250048","1249706056831254528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leonayrd",0,FALSE,FALSE,NA,NA
"@lolalfriza Yhamonmap, terselip sedikit. Karna twitter tempatku curhat &amp; sambat🤗🙏🙏🙏",FALSE,0,"lolalfriza","2020-04-15 08:25:31",FALSE,"1250333100770332672","1250339456046915584","241391998","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yayas___",0,FALSE,FALSE,NA,NA
"Mulaaaaaiii deh mulaaai reply2 gue di base di notice orang2, MALU WOI REP BASE ITU BIASANYA W JUJUR APA ADANYA SEKALIAN CURHAT 😭😭😭",FALSE,1,NA,"2020-04-15 08:25:28",FALSE,NA,"1250339444952985600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lilaccountz",0,FALSE,FALSE,NA,NA
"@Sabilabelaa @ciiinoooo @eskophi Belak curhat",FALSE,0,"Sabilabelaa","2020-04-15 08:25:24",FALSE,"1250338929477160960","1250339427223662592","1051830704286232576","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbigaelAmira",0,FALSE,FALSE,NA,NA
"RT @lemonetrin: × TAEKOOK AU ×

• Secret Admirer •
Ketika Jungkook menyukai Taehyung seorang anak band, Ia menemukan sebuah akun curhat dan…",FALSE,0,NA,"2020-04-15 08:25:21",FALSE,NA,"1250339417148887040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ocjkxv",299,TRUE,FALSE,NA,NA
"RT @Papasungjinfam: kayaknya youngk setiap liat langit langsung jadi 1 lagu, bengong dikit dapet lirik, temen curhat dapet 1 album. https:/…",FALSE,0,NA,"2020-04-15 08:25:05",FALSE,NA,"1250339348282609664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bosenygbiasa",565,TRUE,FALSE,NA,NA
"RT @pernahjele: orang-orang kok pada bisa sih curhat sama orang tuanya?",FALSE,0,NA,"2020-04-15 08:25:02",FALSE,NA,"1250339336488288256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArifIskandarr",1,TRUE,FALSE,NA,NA
"@SFT98SJY @EVE_YERIM99 @beaniekwon Cih, curhat wkwkwk",FALSE,0,"SFT98SJY","2020-04-15 08:24:53",FALSE,"1.250338914319e+18","1250339297942622208","1214099631220510720","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnnysouh",0,FALSE,FALSE,NA,NA
"@EunBeeagle APA GANTI JADI SESI CURHAT AJA YA KAK",FALSE,0,"EunBeeagle","2020-04-15 08:24:49",FALSE,"1250338442023591936","1250339281203126272","1530739856","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ciyuarelia",0,FALSE,FALSE,NA,NA
"RT @imel_tante: Ada yg mau jdi tmen curhat Tante ga.. https://t.co/dBFJlRlI7m",FALSE,0,NA,"2020-04-15 08:24:38",FALSE,NA,"1250339235413897216",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Aditia79476136",261,TRUE,FALSE,NA,NA
